message,channelid
Texel is a beautifull island,1
Assen is de hoofdstad van Drente,3
Arnhem is de hoofdstad van Gelderland,3
's-Hertogenbosh is de hoofdstad van Noord Brabant,3
Middelburg is de hoofdstad van Zeeland,3
Maastricht is de hoofdstad van Limburg,3
Zwolle is de hoofdstad van Overijssel,3
Groningen is de hoofdstad van Groningen,3
Leeuwarden is de hoofdstad van Friesland,3
Haarlem is de hoofdstad van Noord Holland,3
Amsterdam is de hoofdstad van Nederland,3
Bonn is de hoofdstad van Duitsland,3
London is de hoofdstad van Groot Brittannie,3
Parijs is de hoofdstad van Frankrijk,3
Madrid is de hoofdstad van Spanje,3
Lissabon is de hoofdstad van Portugal,3
Rome is de hoofdstad van Italie,3
Warschaw is de hoofdstad van Polen,3
Moskou is de hoofdstad van Rusland,3
Peking is de hoofdstad van China,3
Tokio is de hoofdstad van Japan,3
Jeruzalem is de hoofdstad van Israel,3
Drente is de hoofdstad van Assen,3
Lelystand is de hoofdstad van Flevoland,3
Utrecht is de hoofdstad van Utrecht,3
Den Haag is de hoofdstad van Zuid Holland,3
Algiers is de hoofdstad van Algerije,3
Luanda is de hoofdstad van Angola,3
Porto-Novo is de hoofdstad van Benin,3
Gaborone is de hoofdstad van Botswana,3
Ouagadougou is de hoofdstad van Burkina Faso,3
Bujumbura is de hoofdstad van Burundi,3
Bangui is de hoofdstad van Centraal-Afrikaanse Republiek,3
